id_ctzc;ecld_chefe_fmla;prfr_eqpt_csmr_menos_ee;dslg_tv_qund_n_esta_usdo;evita_eqpt_sb;porta_jnla_fcdo_usar_arcd;dslg_arcd_qund_fora_abte;evita_longo_banho_ce;usa_ce_posc_verao_ecnz_ee;evita_gldr_abta;n_guad_almt_qent_e_dstd_gldr;rglr_tmtt_gldr_cfrm_etac;n_seca_roupa_gldr;mntm_brch_gldr_bom_estd;usar_mdl_smnt_qund_cpcd_maxm;acml_roupa_pssr;dslg_fp_qund_encr_svco;usar_tmpr_idca_tcdo_fp;prfr_lmpd_led_frct;evita_ligar_lmpd_drte_dia;dslg_lmpd_abte_dcpd;elmn_pblm_itlc_eltc;rcbe_info_ecnz_ee;gtra_rcbr_info_ecnz_ee
3886;Superior completo;Normalmente;Normalmente;Sempre;;;;;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Sim;
3887;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;Normalmente;Sempre;;;Normalmente;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Sim;
3888;Médio completo/Superior incompleto;Normalmente;Normalmente;Normalmente;;;;;Normalmente;Sempre;Normalmente;Normalmente;Normalmente;N/A;Normalmente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Normalmente;Sim;
3889;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Normalmente;N/A;N/A;N/A;N/A;Normalmente;Normalmente;Sempre;Normalmente;Sim;
3890;Médio completo/Superior incompleto;Raramente;Raramente;Normalmente;;;;;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;N/A;N/A;N/A;N/A;Raramente;Normalmente;Normalmente;Sempre;Sim;
3891;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3892;Fundamental I completo / Fundamental II incompleto;Normalmente;Normalmente;Sempre;;;;;Normalmente;Normalmente;Normalmente;Nunca;Sempre;N/A;N/A;N/A;N/A;Normalmente;Normalmente;Normalmente;Sempre;Não;Não
3893;Fundamental I completo / Fundamental II incompleto;Normalmente;Normalmente;Normalmente;;;;;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;N/A;N/A;N/A;N/A;Sempre;Normalmente;Normalmente;Normalmente;Não;Não sabe/não responde
3894;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Nunca;Raramente;Raramente;Raramente;Raramente;Raramente;Normalmente;Normalmente;Sempre;Não;Não sabe/não responde
3895;Médio completo/Superior incompleto;Normalmente;Normalmente;Normalmente;;;;;Nunca;Nunca;Sempre;Nunca;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
3896;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sim;
3897;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Nunca;Sempre;Raramente;Raramente;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Não;Sim
3898;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3899;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Sempre;Raramente;Raramente;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3900;Superior completo;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Não;Sim
3901;Fundamental completo/Médio incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3902;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Sempre;Sempre;Normalmente;N/A;Sempre;Normalmente;Sempre;Raramente;Sempre;Sempre;Sempre;Não;Não sabe/não responde
3903;Fundamental I completo / Fundamental II incompleto;Normalmente;Raramente;Sempre;;;;;Normalmente;Sempre;Sempre;Sempre;Normalmente;N/A;Normalmente;Raramente;Raramente;Normalmente;Normalmente;Normalmente;Normalmente;Sim;
3904;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Nunca;N/A;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Sim;
3905;Superior completo;Normalmente;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Raramente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3906;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Nunca;N/A;Raramente;Raramente;Normalmente;Sempre;Normalmente;Normalmente;Sempre;Sim;
3907;Médio completo/Superior incompleto;Raramente;Sempre;Sempre;;;;;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Normalmente;Raramente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
3908;Fundamental I completo / Fundamental II incompleto;Sempre;N/A;Nunca;;;;;Nunca;Nunca;Nunca;Nunca;Normalmente;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Não
3909;Médio completo/Superior incompleto;Normalmente;Normalmente;Sempre;;;;;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;N/A;Sempre;Normalmente;Normalmente;Raramente;Normalmente;Normalmente;Sempre;Não;Sim
3910;Fundamental I completo / Fundamental II incompleto;Raramente;Raramente;Raramente;;;;;Nunca;Nunca;Sempre;Nunca;Sempre;N/A;Sempre;Sempre;Raramente;Normalmente;Sempre;Sempre;Normalmente;Sim;
3911;Fundamental completo/Médio incompleto;Sempre;Normalmente;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Raramente;N/A;N/A;Normalmente;Normalmente;Normalmente;Sempre;Sempre;Normalmente;Não;Sim
3912;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3913;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3914;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3915;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Nunca;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3916;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;N/A;N/A;Sempre;Sempre;Nunca;Sempre;Sempre;N/A;N/A;N/A;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
3917;Fundamental I completo / Fundamental II incompleto;Sempre;Normalmente;N/A;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Não;Sim
3918;Superior completo;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
3919;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Normalmente;Nunca;Normalmente;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sim;
4105;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Raramente;Nunca;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3920;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Nunca;Nunca;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Nunca;Não;Não sabe/não responde
3921;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3922;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3923;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Nunca;Sempre;Sempre;Nunca;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3924;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Sim;
3925;Fundamental completo/Médio incompleto;Sempre;Normalmente;Normalmente;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3926;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3927;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Normalmente;Sempre;Sempre;Não;Sim
3928;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3929;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Normalmente;Normalmente;Sempre;Raramente;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3930;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3931;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;N/A;N/A;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Nunca;N/A;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
3932;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3933;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Sim;
3934;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3935;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;N/A;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3936;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Sempre;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Não;Sim
3937;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;N/A;N/A;Nunca;Sempre;Sempre;Sempre;Sempre;Sim;
3938;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Não;Sim
3939;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Sempre;Normalmente;Sempre;Normalmente;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3940;Fundamental I completo / Fundamental II incompleto;Normalmente;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3941;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3942;Analfabeto / Fundamental I incompleto;Nunca;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;Normalmente;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3943;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Sim;
3944;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
3945;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Raramente;Raramente;Raramente;Normalmente;Sempre;Sempre;Sempre;Não;Sim
3946;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Raramente;Sempre;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3947;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Nunca;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3948;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Sempre;Nunca;Nunca;N/A;Normalmente;Normalmente;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3949;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Raramente;Sempre;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3950;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;N/A;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3951;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Nunca;Nunca;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3952;Médio completo/Superior incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Nunca;Nunca;Nunca;Nunca;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Não
3953;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Normalmente;Sempre;Não;Sim
3954;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;N/A;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Não;Sim
3955;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3956;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3957;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sim;
3958;Médio completo/Superior incompleto;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Normalmente;Sim;
3959;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3960;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
3961;Superior completo;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3962;Superior completo;Sempre;Sempre;Sempre;Sempre;Sempre;;;Nunca;Nunca;Nunca;Nunca;Normalmente;Nunca;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Sim;
3963;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Nunca;Nunca;Sempre;Nunca;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Não;Não
3964;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
3965;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Raramente;Nunca;Sempre;Nunca;Sempre;Nunca;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Não;Sim
3966;Fundamental completo/Médio incompleto;Sempre;Sempre;Nunca;Sempre;Sempre;;;Sempre;Nunca;Nunca;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3967;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Raramente;Nunca;Raramente;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3968;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3969;Superior completo;Sempre;Sempre;Normalmente;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3970;Fundamental completo/Médio incompleto;Sempre;Raramente;Normalmente;;;;;Normalmente;Raramente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sim;
3971;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Raramente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Sim;
3972;Superior completo;Sempre;Sempre;Normalmente;;;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
3973;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;N/A;N/A;Raramente;Sempre;Sempre;Sempre;Não;Sim
3974;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Nunca;Nunca;N/A;N/A;Nunca;Sempre;Sempre;Sempre;Não;Sim
3975;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Não;Sim
3976;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Normalmente;N/A;N/A;Nunca;Normalmente;Normalmente;Normalmente;Não;Sim
3977;Analfabeto / Fundamental I incompleto;Raramente;Raramente;Normalmente;;;;;Normalmente;Sempre;Normalmente;Normalmente;Sempre;N/A;N/A;N/A;N/A;Raramente;Nunca;Sempre;Sempre;Não;Sim
3978;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Normalmente;N/A;N/A;Nunca;Sempre;Sempre;Normalmente;Não;Sim
3979;Analfabeto / Fundamental I incompleto;Nunca;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;N/A;N/A;N/A;N/A;Nunca;Sempre;Sempre;Sempre;Não;Sim
3980;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Normalmente;N/A;N/A;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3981;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Normalmente;Sempre;Sempre;Não;Sim
3982;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Nunca;;;;;Sempre;Nunca;Sempre;Raramente;Nunca;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Raramente;Não;Sim
3983;Fundamental I completo / Fundamental II incompleto;Normalmente;Normalmente;Normalmente;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3984;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;Raramente;Normalmente;Normalmente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3985;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Normalmente;Sempre;Sempre;N/A;Raramente;Raramente;Raramente;Sempre;Sempre;Normalmente;Sempre;Não;Sim
3986;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Raramente;Sempre;Raramente;Sempre;Normalmente;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;Sempre;Normalmente;Sim;
3987;Superior completo;Sempre;Raramente;Sempre;Sempre;Normalmente;;;Sempre;Normalmente;Raramente;Raramente;Raramente;Normalmente;Raramente;Raramente;Normalmente;Sempre;Sempre;Sempre;Normalmente;Não;Sim
3988;Superior completo;Sempre;Sempre;Sempre;N/A;N/A;;;Normalmente;Normalmente;Raramente;Sempre;Sempre;Sempre;Raramente;Sempre;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
3989;Superior completo;Sempre;Sempre;Sempre;;;;;Sempre;Normalmente;Raramente;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
3990;Superior completo;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Não;Sim
3991;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Nunca;Nunca;Sempre;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3992;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Nunca;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3993;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;N/A;Nunca;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3994;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Raramente;Sempre;Sempre;Sempre;Raramente;Raramente;Raramente;Sempre;Sempre;Normalmente;Sempre;Não;Sim
3995;Médio completo/Superior incompleto;Sempre;Normalmente;Normalmente;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Raramente;Raramente;Raramente;Sempre;Sempre;Sempre;Sempre;Não;Sim
3996;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;N/A;N/A;Sempre;Sempre;Sempre;Nunca;Sim;
3997;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3998;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;N/A;Sempre;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
3999;Fundamental completo/Médio incompleto;Sempre;N/A;Sempre;;;;;N/A;Sempre;Nunca;Sempre;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
4000;Fundamental completo/Médio incompleto;Sempre;N/A;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Não;Sim
5001;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Normalmente;Sempre;Sempre;Sim;
5002;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Normalmente;Sim;
5003;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
5004;Médio completo/Superior incompleto;Sempre;Sempre;Raramente;;;;;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;N/A;N/A;N/A;Sempre;Normalmente;Sempre;Sempre;Sim;
5005;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Raramente;Nunca;Nunca;Nunca;Nunca;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Sempre;Sempre;Sempre;Não;Não
5006;Médio completo/Superior incompleto;Raramente;Normalmente;Normalmente;;;;;Normalmente;Nunca;Nunca;Normalmente;Nunca;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Nunca;Sim;
5007;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;N/A;Nunca;Nunca;Nunca;Sempre;N/A;N/A;N/A;N/A;Sempre;Sempre;Sempre;Raramente;Não;Não
