id_ctzc;ecld_chefe_fmla;prfr_eqpt_csmr_menos_ee;dslg_tv_qund_n_esta_usdo;evita_eqpt_sb;porta_jnla_fcdo_usar_arcd;dslg_arcd_qund_fora_abte;evita_longo_banho_ce;usa_ce_posc_verao_ecnz_ee;evita_gldr_abta;n_guad_almt_qent_e_dstd_gldr;rglr_tmtt_gldr_cfrm_etac;n_seca_roupa_gldr;mntm_brch_gldr_bom_estd;usar_mdl_smnt_qund_cpcd_maxm;acml_roupa_pssr;dslg_fp_qund_encr_svco;usar_tmpr_idca_tcdo_fp;prfr_lmpd_led_frct;evita_ligar_lmpd_drte_dia;dslg_lmpd_abte_dcpd;elmn_pblm_itlc_eltc;rcbe_info_ecnz_ee;gtra_rcbr_info_ecnz_ee
8012;Superior completo;Sempre;Sempre;Sempre;Sempre;Sempre;;;Nunca;Nunca;Normalmente;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Não;Sim
8013;Superior completo;Normalmente;Nunca;N/A;Raramente;Normalmente;;;Raramente;Normalmente;Nunca;Raramente;Normalmente;Sempre;Normalmente;Nunca;Sempre;Normalmente;Nunca;Raramente;Sempre;Não;Sim
8014;Superior completo;Sempre;Normalmente;Sempre;Sempre;Sempre;;;Normalmente;Normalmente;Normalmente;Normalmente;Raramente;Normalmente;Normalmente;Normalmente;Normalmente;N/A;Raramente;Normalmente;Normalmente;Não;Sim
8015;Superior completo;Sempre;N/A;N/A;Normalmente;Nunca;;;Sempre;Raramente;Raramente;Normalmente;Raramente;Sempre;Raramente;Sempre;Nunca;N/A;Raramente;Sempre;Normalmente;Não sabe/não responde;Não
8016;Fundamental completo/Médio incompleto;Sempre;Normalmente;Normalmente;;;;;Normalmente;Normalmente;Raramente;Raramente;Normalmente;Raramente;Raramente;Raramente;Raramente;Nunca;Raramente;Raramente;Raramente;Não sabe/não responde;Sim
8017;Médio completo/Superior incompleto;Normalmente;Nunca;Raramente;;;;;N/A;Raramente;Raramente;Nunca;Normalmente;Nunca;Sempre;Normalmente;Sempre;Normalmente;N/A;Normalmente;Raramente;Não;Não
8018;Fundamental I completo / Fundamental II incompleto;Normalmente;N/A;Normalmente;;;;;Nunca;Normalmente;Raramente;Raramente;Sempre;Sempre;N/A;Raramente;N/A;N/A;Nunca;Nunca;Normalmente;Sim;
8019;Superior completo;Sempre;Sempre;Normalmente;;;;;Nunca;Nunca;Raramente;Nunca;Normalmente;Sempre;N/A;N/A;N/A;Raramente;Normalmente;Sempre;Sempre;Sim;
8020;Fundamental I completo / Fundamental II incompleto;Sempre;Normalmente;Sempre;;;;;Sempre;Nunca;N/A;Sempre;Raramente;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Sempre;Normalmente;Sempre;Sim;
8021;Médio completo/Superior incompleto;Sempre;Normalmente;Sempre;;;;;N/A;Normalmente;Normalmente;Raramente;Raramente;Sempre;Nunca;Normalmente;Raramente;Raramente;Nunca;Normalmente;Raramente;Não;Sim
8022;Fundamental completo/Médio incompleto;Normalmente;Nunca;Nunca;;;;;Raramente;Nunca;Raramente;Raramente;Sempre;Normalmente;Normalmente;Normalmente;Normalmente;Normalmente;Raramente;Normalmente;Raramente;Não;Não
8023;Médio completo/Superior incompleto;Sempre;Sempre;Normalmente;;;;;Nunca;Nunca;Normalmente;Nunca;Normalmente;Normalmente;N/A;N/A;N/A;Raramente;Sempre;Normalmente;Sempre;Sim;
8024;Fundamental I completo / Fundamental II incompleto;Raramente;N/A;Raramente;;;;;N/A;Raramente;Nunca;N/A;Nunca;Normalmente;Normalmente;Raramente;Sempre;N/A;Nunca;N/A;Raramente;Sim;
8025;Fundamental completo/Médio incompleto;Nunca;Raramente;N/A;;;;;Normalmente;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Raramente;Normalmente;Raramente;Normalmente;N/A;Normalmente;Não;Sim
8026;Fundamental completo/Médio incompleto;Normalmente;Raramente;Raramente;;;;;Sempre;Nunca;Sempre;Raramente;Nunca;Normalmente;N/A;Nunca;Nunca;Nunca;N/A;Raramente;Nunca;Não sabe/não responde;Sim
7018;Superior completo;Sempre;Sempre;Raramente;;;Sempre;Normalmente;Normalmente;Normalmente;Nunca;Sempre;Sempre;Raramente;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
7019;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Normalmente;Sempre;N/A;N/A;N/A;Nunca;Normalmente;Sempre;Sempre;Sempre;Sim;
7020;Superior completo;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Raramente;Sempre;Sempre;Sempre;N/A;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
7021;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;Nunca;N/A;N/A;Sempre;Sempre;Sempre;Sempre;Sim;
7022;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;N/A;N/A;N/A;N/A;Normalmente;Sempre;Sempre;Sempre;Não;Sim
7023;Médio completo/Superior incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;N/A;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
7024;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Nunca;Sempre;Normalmente;Normalmente;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Normalmente;Sim;
